school_name,country,oversea_course,oversea_code,ust_course,ust_code,credit,ref
BI Norwegian Business School,Norway,Databases,EBA3420,Computer Science Track Course,COMPS&D,3,B033816-03
Boston College,United States,Topics in Computer Science: Introduction to Network Science,CSCI3390,Computer Science Track Course,COMPA&T,3,B034352-02
Boston College,United States,Topics in Data Science: Computational Modelling of Contagion and Epidemics,CSCI3391,Computer Science Track Course,COMPA&T,3,B039668-02
Boston College,United States,Topics in Parallel Computing: Parallel Algorithms and GPU Computing,CSCI3396,Parallel Programming,COMP5112,3,B034386-01
Case Western Reserve University,United States,Introduction to Programming with Java,EECS132,Introduction to Computing with Java,COMP1022P,3,B035792-01
Chalmers University of Technology,Sweden,Computer Architecture,DAT105,Design and Analysis of Computer Architectures,COMP4611,3,B040080-01
Chalmers University of Technology,Sweden,Scientific Visualization,MVE080,Computer Science Track Course,COMPG&M,3,B040079-02
Chungbuk National University,"Korea, Republic of",Cultivating Computational Thinking,0914001,Introduction to Computer Science,COMP1021,3,B036042-01
City University of Hong Kong,"Hong Kong SAR, China",Microcomputer Systems,EE2004,Computer Organization,COMP2611,4,B036194-01
Columbia University in the City of New York,United States,Computability and Models of Computation,CS3261,Theory of Computation,COMP3721,3,B032999-01
Columbia University in the City of New York,United States,Introduction to Databases,COMS4111,Database Management Systems,COMP3311,3,B036366-01
Columbia University in the City of New York,United States,Machine Learning,COMS4771,Machine Learning,COMP4211,3,B034831-01
Columbia University in the City of New York,United States,Operating Systems I,COMS4118,Operating Systems,COMP3511,3,B035531-01
Cornell University,United States,Autonomous Mobile Robots,MAE4180/CS3758/ECE47,Perception and Information Processing for Robotics,COMP5223,3,B035679-01
Cornell University,United States,Discrete Structures,CS2800,Discrete Mathematical Tools for Computer Science,COMP2711,4,B008046-02
Cornell University,United States,Fundamentals of Machine Learning,ECE4200,Machine Learning,COMP4211,3,B035026-01
Cornell University,United States,Introduction to Computing using Python,CS1110,Introduction to Computer Science,COMP1021,3,B010690-02
Czech Technical University in Prague,Czech Republic,Computer and Communication Networks,BE5B32PKS,Computer Communication Networks I,COMP4621,3,B033727-01
Czech Technical University in Prague,Czech Republic,Effective C++ Programming,NIE-EPC,Computer Science Track Course,COMPS&D,3,B039101-02
Czech Technical University in Prague,Czech Republic,Network Operating Systems,BE6B32SOS,Computer Science Track Course,COMPS&N,3,B033729-02
Czech Technical University in Prague,Czech Republic,Network Technology 1,BIEST1,Computer Science Track Course,COMPS&N,2,B033728-01
Delft University of Technology,Netherlands,Big Data Processing,CSE2520,Big Data Mining and Management,COMP4332,3,B040366-01
Delft University of Technology,Netherlands,High-performance Data Networking,CESE4045,Computer Science Track Course,COMPS&N,3,B040521-02
Ecole Polytechnique Federale de Lausanne,Switzerland,A network tour of data science,EE558,Computer Science Track Course,COMPS&D,3,B033261-01
Ecole Polytechnique Federale de Lausanne,Switzerland,Advanced Cryptography,COM-501,Computer Science Track Course,COMPS&N,3,B037245-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Artificial neural networks,CS456,Machine Learning,COMP4211,3,B015523-04
Ecole Polytechnique Federale de Lausanne,Switzerland,Computational Photography,CS413,Computer Science Track Course,COMPG&M,3,B034263-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Computer security,COM301,Principles of Cybersecurity,COMP3632,3,B034678-01
Ecole Polytechnique Federale de Lausanne,Switzerland,Deep Learning,EE559,Computer Science Track Course,COMPA&T,3,B034264-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Experience design,CS489,Computer Science Track Course,COMPG&M,3,B033266-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Foundation of probabilistic proofs,CS-602,Computer Science Track Course,COMPA&T,3,B038308-03
Ecole Polytechnique Federale de Lausanne,Switzerland,Graph Theory,MATH360,Computer Science Track Course,COMPA&T,3,B032234-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Interaction Design,CS486,Human-Computer Interaction,COMP4461,3,B039224-01
Ecole Polytechnique Federale de Lausanne,Switzerland,Introduction to Computer Graphics,CS341,Computer Graphics,COMP4411,3,B007724-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Introduction to Database Systems,CS322,Database Management Systems,COMP3311,3,B007725-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Introduction to Machine Learning,CS233,Machine Learning,COMP4211,3,B034262-03
Ecole Polytechnique Federale de Lausanne,Switzerland,Introduction to Natural Language Processing,CS-431,Introduction to Natural Language Processing,COMP4221,3,B039394-01
Ecole Polytechnique Federale de Lausanne,Switzerland,Learning theory,CS-526,Computer Science Track Course,COMPA&T,3,B038310-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Machine Learning for Behavioral Data,CS-421,Computer Science Track Course,COMPA&T,3,B038210-01
