school_name,country,oversea_course,oversea_code,ust_course,ust_code,credit,ref
Boston College,United States,Topics in Computer Science: Introduction to Network Science,CSCI3390,Computer Science Track Course,COMPA&T,3 Credits,B034352-02
Boston College,United States,Topics in Parallel Computing: Parallel Algorithms and GPU Computing,CSCI3396,Parallel Programming,COMP5112,3 Credits,B034386-01
Case Western Reserve University,United States,Introduction to Programming with Java,EECS132,Introduction to Computing with Java,COMP1022P,3 Credits,B035792-01
Chungbuk National University,"Korea, Republic of",Cultivating Computational Thinking,0914001,Introduction to Computer Science,COMP1021,3 Credits,B036042-01
City University of Hong Kong,"Hong Kong SAR, China",Microcomputer Systems,EE2004,Computer Organization,COMP2611,4 Credits,B036194-01
"College of International Education, Hong Kong Baptist University","Hong Kong SAR, China",Essentials of Information Management Technology,GECR1001,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B002568-03
Columbia University in the City of New York,United States,Computability and Models of Computation,CS3261,Theory of Computation,COMP3721,3 Credits,B032999-01
Columbia University in the City of New York,United States,Introduction to Databases,COMS4111,Database Management Systems,COMP3311,3 Credits,B036366-01
Columbia University in the City of New York,United States,Machine Learning,COMS4771,Machine Learning,COMP4211,3 Credits,B034831-01
Columbia University in the City of New York,United States,Operating Systems I,COMS4118,Operating Systems,COMP3511,3 Credits,B035531-01
Cornell University,United States,Autonomous Mobile Robots,MAE4180/CS3758/ECE47,Perception and Information Processing for Robotics,COMP5223,3 Credits,B035679-01
Cornell University,United States,Discrete Structures,CS2800,Discrete Mathematical Tools for Computer Science,COMP2711,4 Credits,B008046-02
Cornell University,United States,Fundamentals of Machine Learning,ECE4200,Machine Learning,COMP4211,3 Credits,B035026-01
Cornell University,United States,Introduction to Computing using Python,CS1110,Introduction to Computer Science,COMP1021,3 Credits,B010690-02
Czech Technical University in Prague,Czech Republic,Computer and Communication Networks,BE5B32PKS,Computer Communication Networks I,COMP4621,3 Credits,B033727-01
Czech Technical University in Prague,Czech Republic,Network Operating Systems,BE6B32SOS,Computer Science Track Course,COMPS&N,3 Credits,B033729-02
Czech Technical University in Prague,Czech Republic,Network Technology 1,BIEST1,Computer Science Track Course,COMPS&N,2 Credits,B033728-01
